Date,Price,Open,High,Low,Vol.,Change %
2019-07-13,0.006468,0.0069,0.007064,0.006182,364.60M,-5.80%
2019-07-14,0.005642,0.006498,0.006533,0.005621,261.73M,-12.77%
2019-07-15,0.005624,0.005654,0.005828,0.005306,345.13M,-0.32%
2019-07-16,0.005216,0.005627,0.005772,0.005053,474.45M,-7.25%
2019-07-17,0.00543,0.005223,0.00575,0.005028,392.65M,4.10%
2019-07-18,0.005685,0.005443,0.005748,0.005258,263.90M,4.70%
2019-07-19,0.005831,0.005683,0.005882,0.005478,215.88M,2.57%
2019-07-20,0.006068,0.005831,0.006219,0.005815,220.56M,4.06%
2019-07-21,0.006087,0.006067,0.00613,0.005838,127.86M,0.31%
2019-07-22,0.00619,0.006087,0.006441,0.00604,258.10M,1.69%
2019-07-23,0.005828,0.006195,0.006255,0.005733,233.41M,-5.85%
2019-07-24,0.005894,0.005824,0.005948,0.005621,233.56M,1.13%
2019-07-25,0.005852,0.0059,0.006149,0.005814,159.79M,-0.71%
2019-07-26,0.005935,0.005852,0.006021,0.005712,127.82M,1.42%
2019-07-27,0.005697,0.005935,0.006087,0.00559,137.00M,-4.01%
2019-07-28,0.005645,0.005674,0.005725,0.005426,103.90M,-0.91%
2019-07-29,0.005574,0.005647,0.005741,0.005549,79.96M,-1.26%
2019-07-30,0.005528,0.005568,0.005641,0.005469,122.32M,-0.83%
2019-07-31,0.0056,0.005528,0.005666,0.005514,175.63M,1.30%
2019-08-01,0.00541,0.00561,0.005629,0.005268,184.74M,-3.39%
2019-08-02,0.005481,0.005404,0.005553,0.005342,134.68M,1.31%
2019-08-03,0.00548,0.005481,0.005567,0.005429,132.41M,-0.02%
2019-08-04,0.005317,0.00548,0.005491,0.005292,128.68M,-2.97%
2019-08-05,0.00523,0.005311,0.005382,0.005226,278.40M,-1.64%
2019-08-06,0.004873,0.005235,0.005235,0.0048,439.25M,-6.83%
2019-08-07,0.005014,0.004874,0.005788,0.004826,727.73M,2.89%
2019-08-08,0.004992,0.005017,0.005084,0.004826,236.99M,-0.44%
2019-08-09,0.004906,0.004975,0.005129,0.004845,271.80M,-1.72%
2019-08-10,0.00491,0.004916,0.005091,0.00477,199.40M,0.08%
2019-08-11,0.005118,0.00491,0.005389,0.004886,267.35M,4.24%
2019-08-12,0.005101,0.005114,0.005274,0.005037,175.56M,-0.33%
2019-08-13,0.004916,0.005113,0.005113,0.00483,184.21M,-3.63%
2019-08-14,0.004628,0.004915,0.004939,0.004449,261.81M,-5.86%
2019-08-15,0.00458,0.00463,0.004747,0.004492,127.38M,-1.04%
2019-08-16,0.004493,0.00458,0.004635,0.004406,238.50M,-1.90%
2019-08-17,0.004454,0.004493,0.00457,0.004361,119.49M,-0.87%
2019-08-18,0.004495,0.004454,0.004579,0.004433,186.48M,0.92%
2019-08-19,0.00466,0.004495,0.004683,0.004484,181.27M,3.67%
2019-08-20,0.00455,0.00466,0.004669,0.004504,126.59M,-2.36%
2019-08-21,0.004369,0.00455,0.004576,0.004147,161.91M,-3.98%
2019-08-22,0.004464,0.004369,0.004625,0.0042,153.76M,2.17%
2019-08-23,0.004594,0.004465,0.004666,0.004432,128.93M,2.91%
2019-08-24,0.004905,0.004594,0.004998,0.004504,304.47M,6.77%
2019-08-25,0.004481,0.004895,0.005003,0.004385,328.54M,-8.64%
2019-08-26,0.004556,0.004481,0.004616,0.004473,123.64M,1.67%
2019-08-27,0.00454,0.004577,0.004595,0.00448,63.36M,-0.35%
2019-08-28,0.004238,0.00454,0.004699,0.0042,119.52M,-6.65%
2019-08-29,0.004052,0.004234,0.004249,0.004018,129.27M,-4.39%
2019-08-30,0.004075,0.004075,0.00416,0.003962,113.77M,0.57%
2019-08-31,0.00409,0.004075,0.004193,0.00398,66.63M,0.37%
2019-09-01,0.004095,0.00409,0.004129,0.004028,58.57M,0.12%
2019-09-02,0.00436,0.004102,0.004468,0.004079,235.49M,6.47%
2019-09-03,0.00427,0.004367,0.004375,0.00421,121.83M,-2.06%
2019-09-04,0.004139,0.00427,0.004302,0.004086,128.95M,-3.07%
2019-09-05,0.003914,0.004139,0.004159,0.003818,199.32M,-5.44%
2019-09-06,0.00374,0.003914,0.00399,0.003701,181.23M,-4.45%
2019-09-07,0.003838,0.003741,0.003903,0.003715,103.06M,2.62%
2019-09-08,0.003996,0.003838,0.004027,0.003838,87.65M,4.12%
2019-09-09,0.003966,0.003996,0.004046,0.003844,150.04M,-0.75%
2019-09-10,0.003912,0.003986,0.00402,0.003858,85.06M,-1.36%
2019-09-11,0.003731,0.003901,0.003956,0.003716,105.69M,-4.63%
2019-09-12,0.003742,0.003762,0.00377,0.003613,109.10M,0.29%
2019-09-13,0.003732,0.003743,0.003755,0.003617,84.42M,-0.27%
2019-09-14,0.00366,0.003738,0.003741,0.003559,127.46M,-1.93%
2019-09-15,0.003716,0.00366,0.003736,0.00366,58.70M,1.53%
2019-09-16,0.004034,0.003716,0.004339,0.00371,500.32M,8.56%
2019-09-17,0.004182,0.004032,0.004285,0.004001,215.03M,3.67%
2019-09-18,0.00428,0.004185,0.004416,0.004183,206.31M,2.34%
2019-09-19,0.0042,0.00428,0.004283,0.00402,204.78M,-1.87%
2019-09-20,0.004179,0.004201,0.00428,0.004127,116.66M,-0.50%
2019-09-21,0.004135,0.004179,0.004276,0.004115,59.09M,-1.05%
2019-09-22,0.004041,0.004144,0.004144,0.00399,74.61M,-2.27%
2019-09-23,0.003906,0.004035,0.004071,0.003905,77.87M,-3.34%
2019-09-24,0.003338,0.003906,0.00403,0.003092,233.68M,-14.54%
2019-09-25,0.003402,0.003327,0.003491,0.003264,146.05M,1.92%
2019-09-26,0.003309,0.003397,0.00341,0.003083,152.24M,-2.73%
2019-09-27,0.00339,0.003309,0.003424,0.0032,109.32M,2.45%
2019-09-28,0.003434,0.00339,0.003485,0.003372,105.46M,1.30%
2019-09-29,0.003339,0.003434,0.003445,0.003261,72.81M,-2.77%
2019-09-30,0.003475,0.003339,0.003497,0.0032,85.33M,4.07%
2019-10-01,0.00342,0.003483,0.003572,0.003405,70.00M,-1.58%
2019-10-02,0.003474,0.00342,0.00349,0.003365,42.13M,1.58%
2019-10-03,0.00342,0.003486,0.003492,0.003373,45.18M,-1.55%
2019-10-04,0.003437,0.00342,0.003487,0.003366,75.71M,0.50%
2019-10-05,0.003412,0.003437,0.003442,0.00336,87.98M,-0.73%
2019-10-06,0.003351,0.003408,0.003428,0.003282,78.00M,-1.79%
2019-10-07,0.003477,0.003351,0.003504,0.003285,117.21M,3.76%
2019-10-08,0.003585,0.003477,0.00361,0.003462,187.19M,3.11%
2019-10-09,0.003814,0.003583,0.003814,0.003545,385.04M,6.39%
2019-10-10,0.003734,0.003815,0.003899,0.003682,251.45M,-2.10%
2019-10-11,0.003635,0.003737,0.00377,0.003569,183.82M,-2.65%
2019-10-12,0.003679,0.003635,0.003765,0.003632,90.10M,1.21%
2019-10-13,0.003584,0.003679,0.003708,0.00357,110.05M,-2.58%
2019-10-14,0.003632,0.003584,0.003633,0.003519,92.01M,1.34%
2019-10-15,0.003444,0.003631,0.00365,0.003416,110.21M,-5.18%
2019-10-16,0.003312,0.003436,0.00345,0.0033,110.77M,-3.83%
2019-10-17,0.003435,0.00332,0.003449,0.003315,89.49M,3.71%
2019-10-18,0.003371,0.003435,0.003456,0.003298,61.70M,-1.86%
2019-10-19,0.003336,0.003375,0.003389,0.003313,34.65M,-1.04%
2019-10-20,0.003364,0.003336,0.003371,0.003289,71.86M,0.84%
2019-10-21,0.003326,0.003364,0.003374,0.003293,62.22M,-1.13%
2019-10-22,0.003258,0.003326,0.003352,0.003245,71.96M,-2.04%
2019-10-23,0.002995,0.003258,0.00328,0.002905,132.82M,-8.07%
2019-10-24,0.002998,0.002995,0.003009,0.002908,86.04M,0.10%
2019-10-25,0.003376,0.002998,0.003419,0.002971,273.78M,12.61%
2019-10-26,0.003366,0.003376,0.003714,0.003255,361.87M,-0.30%
2019-10-27,0.004123,0.00338,0.004349,0.003301,813.68M,22.49%
2019-10-28,0.0038,0.004127,0.004789,0.0038,940.39M,-7.83%
2019-10-29,0.00422,0.003811,0.0043,0.003811,715.93M,11.05%
